,m_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified,total_score
2603,8700820,5163862,Private room,,Dorchester,3,4.5,1,1.0,51.0,1.0,42.281245,-71.086042,2016-05-18 20:29:05.408506,5.634
1305,4679319,5474074,Entire home/apt,,South End,3,4.5,2,0.0,110.0,14.0,42.339815,-71.077701,2016-05-19 01:17:22.514695,5.634
2651,12304165,3713069,Private room,,Back Bay,3,4.5,2,1.0,95.0,1.0,42.348772,-71.084234,2016-05-18 21:29:26.172203,5.634
2597,7252607,34552909,Private room,,Roslindale,3,4.5,2,1.0,49.0,5.0,42.282802000000004,-71.115145,2016-05-18 23:19:15.796296,5.634
2008,10141326,47907391,Entire home/apt,,Bay Village,3,4.5,6,1.0,250.0,1.0,42.347893,-71.072551,2016-05-18 21:15:23.275973,5.634
297,11697685,62159924,Private room,,Brighton,3,4.5,1,1.0,35.0,1.0,42.358063,-71.143163,2016-05-19 00:41:21.695762,5.634
1503,11856912,8992252,Entire home/apt,,South End,3,4.5,4,2.0,185.0,2.0,42.338335,-71.07090500000001,2016-05-19 01:14:17.809530,5.634
2218,6006328,19066350,Entire home/apt,,Mattapan,3,4.5,5,2.0,65.0,4.0,42.281892,-71.093627,2016-05-18 21:22:58.970408,5.634
2182,10997047,57064175,Entire home/apt,,North End,3,4.5,4,1.0,152.0,2.0,42.365415000000006,-71.05611,2016-05-18 22:25:06.923875,5.634
2134,9344096,14737770,Entire home/apt,,North End,3,4.5,6,3.0,175.0,2.0,42.365429,-71.052188,2016-05-18 21:29:30.105892,5.634
2047,12386138,12536547,Entire home/apt,,Beacon Hill,3,4.5,2,1.0,175.0,2.0,42.358598,-71.068937,2016-05-19 01:52:10.089777,5.634
2493,6927063,13366252,Private room,,Fenway,3,4.5,1,1.0,100.0,1.0,42.34401,-71.088089,2016-05-18 21:57:15.747517,5.634
1074,7008455,14338710,Entire home/apt,,Mission Hill,3,4.5,2,1.0,100.0,3.0,42.330838,-71.111154,2016-05-18 20:17:04.496025,5.634
1908,561769,71783,Entire home/apt,,Dorchester,3,4.5,6,2.0,134.0,,42.31324,-71.062416,2016-05-19 02:21:32.162389,5.634
102,4565470,9419684,Entire home/apt,,Fenway,3,4.5,5,2.0,350.0,3.0,42.344724,-71.10009699999999,2016-05-19 02:03:13.946908,5.634
1519,5359697,14517564,Entire home/apt,,Back Bay,3,4.5,2,0.0,65.0,1.0,42.345096000000005,-71.079318,2016-05-18 22:11:32.057419,5.634
1800,6936712,26988,Entire home/apt,,Downtown,3,4.5,1,0.0,175.0,5.0,42.358892,-71.061663,2016-05-18 21:02:03.405023,5.634
3145,1340649,7271526,Private room,,South Boston,3,4.5,1,1.0,100.0,7.0,42.328254,-71.057036,2016-05-18 21:35:59.501896,5.634
2814,8495348,44735228,Private room,,Roxbury,3,4.5,2,1.0,100.0,1.0,42.316806,-71.073527,2016-05-18 23:58:43.998443,5.634
2795,1638584,5243773,Private room,,Roxbury,3,4.5,1,1.0,79.0,2.0,42.325138,-71.092641,2016-05-18 20:19:37.022919,5.634
2766,11946029,27112758,Private room,,Jamaica Plain,3,4.5,2,1.0,100.0,1.0,42.321517,-71.10422,2016-05-19 02:34:26.326803,5.634
451,10475848,53989804,Entire home/apt,,South Boston Waterfront,3,4.5,5,2.0,350.0,2.0,42.349158,-71.050065,2016-05-19 00:54:14.912707,5.634
1109,5726867,29691316,Entire home/apt,,Roxbury,3,4.5,4,2.0,105.0,7.0,42.312061,-71.0883,2016-05-19 01:51:10.226062,5.634
1333,10427882,48494513,Entire home/apt,,South End,3,4.5,2,1.0,229.0,2.0,42.344073,-71.07785200000001,2016-05-18 21:44:07.883041,5.634
3125,4261784,17814164,Private room,,South Boston,3,4.5,2,1.0,75.0,1.0,42.336855,-71.046938,2016-05-19 00:30:11.000535,5.634
1457,1948096,10074105,Entire home/apt,,Back Bay,3,4.5,4,2.0,385.0,5.0,42.343271,-71.08126700000001,2016-05-19 02:45:30.680054,5.634
135,12446656,12790789,Shared room,,Fenway,3,4.5,2,1.0,90.0,1.0,42.344627,-71.09490799999999,2016-05-19 01:51:13.181366,5.634
139,5652147,352441,Entire home/apt,,Jamaica Plain,3,4.5,7,3.0,300.0,2.0,42.307049,-71.116624,2016-05-19 01:50:16.152426,5.634
1644,8973362,46891535,Entire home/apt,,Mission Hill,3,4.5,4,2.0,160.0,2.0,42.333094,-71.10820600000001,2016-05-19 00:48:40.141196,5.634
2462,8962914,46842652,Private room,,Brighton,3,4.5,1,1.0,64.0,1.0,42.343656,-71.14689200000001,2016-05-19 00:37:19.238184,5.634
1810,6602167,24584716,Entire home/apt,,Jamaica Plain,3,4.5,6,2.0,168.0,1.0,42.32527,-71.107011,2016-05-19 02:21:13.955401,5.634
1639,12379725,18202088,Entire home/apt,,Mission Hill,3,4.5,2,1.0,239.0,2.0,42.333764,-71.100797,2016-05-19 01:19:10.717408,5.634
924,10898451,52684486,Shared room,,Fenway,3,4.5,1,1.0,79.0,1.0,42.347165999999994,-71.088125,2016-05-18 21:10:55.283321,5.634
838,7362715,10132799,Shared room,,Back Bay,3,4.5,2,1.0,79.0,1.0,42.347725,-71.086649,2016-05-18 21:25:49.227032,5.634
1980,7728499,22348222,Entire home/apt,,Downtown,3,4.5,2,0.0,160.0,7.0,42.359525,-71.06249,2016-05-19 01:29:15.872851,5.634
495,12652527,20621133,Private room,,Beacon Hill,6,3.5,2,1.0,69.0,1.0,42.360789000000004,-71.065657,2016-05-18 23:01:19.313045,5.768
531,10340581,29414542,Private room,,Bay Village,6,3.5,2,1.0,149.0,1.0,42.350186,-71.066761,2016-05-18 22:31:06.789877,5.768
1051,115936,228845,Entire home/apt,,Jamaica Plain,6,3.5,12,4.0,525.0,3.0,42.315576,-71.113057,2016-05-18 22:34:51.365232,5.768
936,9926796,51026962,Shared room,,Fenway,6,3.5,1,1.0,62.0,2.0,42.341309,-71.098448,2016-05-19 02:00:05.390606,5.768
606,12463961,67445992,Entire home/apt,,Fenway,6,3.5,3,1.0,140.0,2.0,42.342263,-71.095951,2016-05-18 21:41:28.492441,5.768
23,6728819,2847302,Private room,,Fenway,5,4.0,2,1.0,95.0,1.0,42.339501,-71.092941,2016-05-19 02:50:17.462948,5.890000000000001
1561,1372816,25188,Entire home/apt,,Back Bay,5,4.0,2,,209.0,2.0,42.348631,-71.085257,2016-05-18 21:32:53.672663,5.890000000000001
2553,9239190,48020499,Private room,,Dorchester,5,4.0,2,1.0,48.0,1.0,42.290890999999995,-71.060188,2016-05-18 21:30:13.523379,5.890000000000001
1793,4453153,14364920,Entire home/apt,,Beacon Hill,5,4.0,4,2.0,200.0,1.0,42.359497999999995,-71.06705500000001,2016-05-18 20:17:50.869112,5.890000000000001
2962,7454966,16442921,Private room,,Dorchester,5,4.0,2,1.0,69.0,2.0,42.319818,-71.054546,2016-05-19 00:32:33.127214,5.890000000000001
545,8947232,16186589,Private room,,Dorchester,5,4.0,1,1.0,70.0,3.0,42.289586,-71.068294,2016-05-18 22:16:15.057930,5.890000000000001
553,11411325,59082726,Private room,,North End,5,4.0,2,1.0,100.0,1.0,42.362953999999995,-71.052938,2016-05-18 22:12:46.159916,5.890000000000001
1144,54215,25188,Entire home/apt,,Fenway,5,4.0,4,2.0,359.0,3.0,42.343453000000004,-71.101668,2016-05-18 21:02:20.329552,5.890000000000001
1350,5718801,22348222,Entire home/apt,,South End,5,4.0,2,0.0,150.0,7.0,42.345028000000006,-71.076663,2016-05-18 23:47:39.235768,5.890000000000001
1539,5870309,30283594,Entire home/apt,,South End,5,4.0,5,2.0,571.0,3.0,42.344877000000004,-71.078746,2016-05-18 22:22:40.155914,5.890000000000001
381,1944976,10060070,Private room,,Dorchester,5,4.0,1,1.0,76.0,2.0,42.311607,-71.046127,2016-05-18 23:50:04.117880,5.890000000000001
2935,9496337,12711168,Private room,,Allston,5,4.0,2,1.0,40.0,4.0,42.362086,-71.124703,2016-05-19 01:26:18.287984,5.890000000000001
1579,8584276,3521413,Entire home/apt,,Back Bay,5,4.0,4,1.0,245.0,3.0,42.350315,-71.08681,2016-05-18 21:36:36.386113,5.890000000000001
1365,12342549,1015632,Entire home/apt,,South End,5,4.0,6,2.0,150.0,2.0,42.341369,-71.081024,2016-05-18 21:07:18.745078,5.890000000000001
474,6655012,34832265,Private room,,Dorchester,5,4.0,2,1.0,60.0,1.0,42.283737,-71.085812,2016-05-18 23:12:18.076487,5.890000000000001
1423,1863443,9419684,Entire home/apt,,Fenway,5,4.0,3,1.0,272.0,3.0,42.344601000000004,-71.10171899999999,2016-05-18 22:05:21.832702,5.890000000000001
2403,6544642,21895391,Entire home/apt,,South Boston,5,4.0,2,0.0,175.0,2.0,42.334981,-71.034451,2016-05-18 20:34:52.102220,5.890000000000001
1025,8780440,46024636,Entire home/apt,,Brighton,5,4.0,4,1.0,110.0,2.0,42.342287,-71.15515699999999,2016-05-18 22:22:12.401430,5.890000000000001
2568,8956962,46813874,Private room,,Dorchester,4,4.5,2,1.0,65.0,1.0,42.296299,-71.087292,2016-05-18 20:52:04.681608,6.0120000000000005
456,8442154,44448088,Entire home/apt,,Roxbury,4,4.5,7,3.0,130.0,1.0,42.324163,-71.085626,2016-05-19 00:50:57.838334,6.0120000000000005
2635,8490356,44581223,Private room,,Hyde Park,4,4.5,1,1.0,87.0,1.0,42.251618,-71.114645,2016-05-18 22:21:02.628946,6.0120000000000005
2832,5549683,24806753,Private room,,Fenway,4,4.5,2,1.0,75.0,1.0,42.338542,-71.091561,2016-05-18 20:27:41.128596,6.0120000000000005
1522,22208,25188,Entire home/apt,,South End,4,4.5,2,,225.0,3.0,42.34321,-71.07776,2016-05-18 20:23:22.724899,6.0120000000000005
2902,7921649,26956083,Private room,,Brighton,4,4.5,2,1.0,45.0,2.0,42.359642,-71.140569,2016-05-19 00:24:06.426749,6.0120000000000005
1733,3369898,17001829,Entire home/apt,,Back Bay,4,4.5,2,1.0,189.0,1.0,42.350541,-71.082512,2016-05-18 22:29:02.844768,6.0120000000000005
1988,12253029,42868503,Entire home/apt,,South End,4,4.5,2,0.0,115.0,1.0,42.342533,-71.07051700000001,2016-05-19 01:33:35.190601,6.0120000000000005
2840,68902,25188,Private room,,Beacon Hill,4,4.5,4,1.0,377.0,2.0,42.355365,-71.07300500000001,2016-05-18 23:39:30.625565,6.0120000000000005
2039,2495047,5430185,Entire home/apt,,South End,4,4.5,2,0.0,160.0,27.0,42.34189,-71.07254300000001,2016-05-19 02:07:44.395098,6.0120000000000005
756,8973483,30383169,Private room,,Fenway,4,4.5,3,1.0,100.0,1.0,42.349047,-71.09415,2016-05-18 19:58:00.328593,6.0120000000000005
1183,52423,25188,Entire home/apt,,Fenway,4,4.5,4,2.0,309.0,4.0,42.343922,-71.097201,2016-05-19 01:47:26.925758,6.0120000000000005
1354,11454147,18202088,Entire home/apt,,Fenway,4,4.5,2,1.0,129.0,2.0,42.347434,-71.102564,2016-05-18 20:56:04.706671,6.0120000000000005
1631,1867881,9419684,Entire home/apt,,West End,4,4.5,5,2.0,311.0,10.0,42.365116,-71.069263,2016-05-18 20:01:02.020252,6.0120000000000005
3219,10887456,56116870,Private room,,Fenway,4,4.5,1,1.0,59.0,1.0,42.343283,-71.097149,2016-05-19 00:39:22.995483,6.0120000000000005
1581,1498719,8008692,Entire home/apt,,Back Bay,4,4.5,2,0.0,225.0,3.0,42.351215,-71.083148,2016-05-19 02:35:12.708377,6.0120000000000005
1227,11670237,2897513,Entire home/apt,,Back Bay,4,4.5,6,2.0,340.0,2.0,42.349002,-71.087784,2016-05-18 21:32:24.360713,6.0120000000000005
1848,697078,26988,Entire home/apt,,Beacon Hill,4,4.5,3,1.0,175.0,6.0,42.358931,-71.063311,2016-05-19 01:41:19.069362,6.0120000000000005
3185,8064980,16284736,Private room,,East Boston,4,4.5,2,1.0,90.0,1.0,42.37484,-71.032046,2016-05-19 00:15:20.761318,6.0120000000000005
904,8191739,28763698,Private room,,West End,4,4.5,2,1.0,98.0,3.0,42.363197,-71.068104,2016-05-18 20:37:50.894962,6.0120000000000005
3173,7449448,38701026,Private room,,Dorchester,4,4.5,1,1.0,45.0,2.0,42.286640000000006,-71.088039,2016-05-18 23:26:41.057179,6.0120000000000005
1922,7114655,271917,Entire home/apt,,South End,4,4.5,5,2.0,300.0,3.0,42.343356,-71.06571600000001,2016-05-19 01:43:19.730123,6.0120000000000005
167,9770477,17194624,Entire home/apt,,Fenway,4,4.5,2,0.0,99.0,2.0,42.350479,-71.093757,2016-05-19 01:35:21.130393,6.0120000000000005
